Datetime,Open,High,Low,Close,Adj Close,Volume
2023-10-21 00:00:00+00:00,29683.380859375,29701.640625,29611.8515625,29638.052734375,29638.052734375,9590784
2023-10-21 01:00:00+00:00,29639.755859375,29648.83984375,29543.0390625,29546.37890625,29546.37890625,0
2023-10-21 02:00:00+00:00,29544.072265625,29550.044921875,29484.814453125,29496.775390625,29496.775390625,0
2023-10-21 03:00:00+00:00,29497.373046875,29630.771484375,29481.751953125,29614.955078125,29614.955078125,0
2023-10-21 04:00:00+00:00,29614.2421875,29635.978515625,29572.265625,29574.099609375,29574.099609375,0
2023-10-21 05:00:00+00:00,29568.044921875,29592.28515625,29558.888671875,29573.318359375,29573.318359375,0
2023-10-21 06:00:00+00:00,29586.7890625,29728.18359375,29586.7890625,29716.82421875,29716.82421875,0
2023-10-21 07:00:00+00:00,29715.328125,29729.7421875,29673.15234375,29708.615234375,29708.615234375,0
2023-10-21 08:00:00+00:00,29707.51953125,29725.091796875,29672.912109375,29678.310546875,29678.310546875,0
2023-10-21 09:00:00+00:00,29671.927734375,29851.572265625,29658.94921875,29829.322265625,29829.322265625,0
2023-10-21 10:00:00+00:00,29847.853515625,29867.4375,29770.900390625,29787.5546875,29787.5546875,0
2023-10-21 11:00:00+00:00,29783.3515625,29850.392578125,29773.353515625,29807.171875,29807.171875,0
2023-10-21 12:00:00+00:00,29822.8203125,29832.81640625,29766.076171875,29782.75,29782.75,0
2023-10-21 13:00:00+00:00,29781.3046875,29800.193359375,29719.576171875,29788.912109375,29788.912109375,0
2023-10-21 14:00:00+00:00,29784.833984375,29898.744140625,29771.916015625,29898.10546875,29898.10546875,0
2023-10-21 15:00:00+00:00,29894.87890625,29975.607421875,29802.466796875,29944.771484375,29944.771484375,0
2023-10-21 16:00:00+00:00,29953.4921875,29958.197265625,29865.205078125,29865.205078125,29865.205078125,0
2023-10-21 17:00:00+00:00,29875.8046875,30154.53125,29868.87109375,30147.16015625,30147.16015625,204553216
2023-10-21 18:00:00+00:00,30152.322265625,30287.482421875,29996.15625,30213.599609375,30213.599609375,959619072
2023-10-21 19:00:00+00:00,30215.724609375,30251.21484375,30055.755859375,30172.96484375,30172.96484375,182732800
2023-10-21 20:00:00+00:00,30171.908203125,30171.908203125,29974.46484375,30023.31640625,30023.31640625,0
2023-10-21 21:00:00+00:00,30025.2421875,30066.193359375,29995.701171875,30029.888671875,30029.888671875,0
2023-10-21 22:00:00+00:00,30009.810546875,30037.48828125,29962.728515625,30016.212890625,30016.212890625,0
2023-10-21 23:00:00+00:00,30013.244140625,30013.244140625,29870.732421875,29916.626953125,29916.626953125,0
2023-10-22 00:00:00+00:00,29918.654296875,30005.923828125,29900.7734375,29985.2890625,29985.2890625,44097536
2023-10-22 01:00:00+00:00,29983.208984375,30066.701171875,29882.451171875,29940.427734375,29940.427734375,168838144
2023-10-22 02:00:00+00:00,29943.986328125,29943.986328125,29864.921875,29880.314453125,29880.314453125,0
2023-10-22 03:00:00+00:00,29876.11328125,29926.84375,29860.271484375,29926.166015625,29926.166015625,0
2023-10-22 04:00:00+00:00,29922.416015625,30007.1875,29916.484375,29967.337890625,29967.337890625,89411584
2023-10-22 05:00:00+00:00,29970.744140625,30193.3203125,29970.744140625,30136.76953125,30136.76953125,764702720
2023-10-22 06:00:00+00:00,30133.9921875,30199.43359375,30088.578125,30089.4296875,30089.4296875,242889728
2023-10-22 07:00:00+00:00,30091.724609375,30091.724609375,29720.3125,29834.728515625,29834.728515625,581035008
2023-10-22 08:00:00+00:00,29834.6953125,29889.103515625,29799.68359375,29854.376953125,29854.376953125,197399552
2023-10-22 09:00:00+00:00,29850.693359375,29998.591796875,29842.65234375,29908.298828125,29908.298828125,0
2023-10-22 10:00:00+00:00,29903.013671875,29959.232421875,29891.892578125,29915.73046875,29915.73046875,0
2023-10-22 11:00:00+00:00,29913.53515625,29941.087890625,29855.328125,29913.46875,29913.46875,0
2023-10-22 12:00:00+00:00,29921.744140625,29963.625,29903.3359375,29911.57421875,29911.57421875,0
2023-10-22 13:00:00+00:00,29911.7265625,29976.798828125,29906.357421875,29963.513671875,29963.513671875,140340224
2023-10-22 14:00:00+00:00,29959.50390625,29962.388671875,29828.59765625,29880.830078125,29880.830078125,0
2023-10-22 15:00:00+00:00,29884.66796875,29884.66796875,29808.958984375,29841.0546875,29841.0546875,0
2023-10-22 16:00:00+00:00,29843.642578125,29897.466796875,29825.115234375,29876.82421875,29876.82421875,0
2023-10-22 17:00:00+00:00,29880.220703125,29944.16015625,29880.220703125,29928.337890625,29928.337890625,0
2023-10-22 18:00:00+00:00,29928.6796875,29940.021484375,29906.240234375,29906.240234375,29906.240234375,0
2023-10-22 19:00:00+00:00,29900.919921875,29935.390625,29842.18359375,29847.10546875,29847.10546875,0
2023-10-22 20:00:00+00:00,29860.783203125,29887.845703125,29852.150390625,29854.697265625,29854.697265625,0
2023-10-22 21:00:00+00:00,29864.078125,29864.078125,29759.806640625,29783.3984375,29783.3984375,0
2023-10-22 22:00:00+00:00,29773.673828125,30033.794921875,29734.447265625,30033.794921875,30033.794921875,399808512
2023-10-22 23:00:00+00:00,30049.9375,30049.9375,29939.384765625,29986.640625,29986.640625,146668544
2023-10-23 00:00:00+00:00,30002.443359375,30152.375,29903.447265625,30139.10546875,30139.10546875,228246528
2023-10-23 01:00:00+00:00,30140.685546875,30520.517578125,30097.828125,30317.107421875,30317.107421875,1393393664
2023-10-23 02:00:00+00:00,30338.916015625,30397.40234375,30203.34765625,30389.796875,30389.796875,447685632
2023-10-23 03:00:00+00:00,30384.701171875,30747.73828125,30303.296875,30734.943359375,30734.943359375,937211904
2023-10-23 04:00:00+00:00,30728.923828125,30792.0546875,30579.021484375,30697.75,30697.75,863572992
2023-10-23 05:00:00+00:00,30667.15234375,30929.333984375,30610.21484375,30812.80859375,30812.80859375,533804032
2023-10-23 06:00:00+00:00,30808.86328125,30951.275390625,30705.150390625,30705.150390625,30705.150390625,84385792
2023-10-23 07:00:00+00:00,30685.720703125,30758.529296875,30469.0390625,30520.08984375,30520.08984375,1047669760
2023-10-23 08:00:00+00:00,30523.482421875,30691.494140625,30490.375,30691.494140625,30691.494140625,378190848
2023-10-23 09:00:00+00:00,30698.6875,30698.6875,30394.62890625,30478.98828125,30478.98828125,668558336
2023-10-23 10:00:00+00:00,30487.134765625,30574.833984375,30487.134765625,30568.712890625,30568.712890625,291208192
2023-10-23 11:00:00+00:00,30569.0234375,30775.025390625,30563.046875,30661.9765625,30661.9765625,369154048
2023-10-23 12:00:00+00:00,30679.703125,30753.9453125,30608.125,30652.400390625,30652.400390625,337453056
2023-10-23 13:00:00+00:00,30665.115234375,30709.173828125,30433.322265625,30620.48828125,30620.48828125,655038464
2023-10-23 14:00:00+00:00,30620.41796875,30834.3046875,30609.20703125,30803.28125,30803.28125,486569984
2023-10-23 15:00:00+00:00,30778.587890625,30972.255859375,30778.404296875,30904.896484375,30904.896484375,757741568
2023-10-23 16:00:00+00:00,30899.392578125,31287.50390625,30835.806640625,31270.189453125,31270.189453125,1645101056
2023-10-23 17:00:00+00:00,31232.8203125,31314.57421875,30915.67578125,31030.720703125,31030.720703125,1329920000
2023-10-23 18:00:00+00:00,30999.099609375,31175.283203125,30825.96875,31135.064453125,31135.064453125,1586114560
2023-10-23 19:00:00+00:00,31182.548828125,31412.26171875,31114.962890625,31412.26171875,31412.26171875,1234878464
2023-10-23 20:00:00+00:00,31380.259765625,31803.107421875,31341.501953125,31566.4296875,31566.4296875,1665062912
2023-10-23 21:00:00+00:00,31534.42578125,31660.734375,31446.8828125,31637.638671875,31637.638671875,611311616
2023-10-23 22:00:00+00:00,31640.052734375,34370.4375,31619.826171875,33207.29296875,33207.29296875,6553452544
2023-10-23 23:00:00+00:00,33321.7421875,33490.59375,32675.92578125,33053.35546875,33053.35546875,3776942080
2023-10-24 00:00:00+00:00,33077.3046875,33723.140625,32880.76171875,33646.484375,33646.484375,2069598208
2023-10-24 01:00:00+00:00,33547.10546875,34147.53125,33513.89453125,34147.53125,34147.53125,435593216
2023-10-24 02:00:00+00:00,34166.65234375,35150.43359375,34160.18359375,34616.37890625,34616.37890625,3771297792
2023-10-24 03:00:00+00:00,34588.7734375,34682.06640625,34156.73828125,34156.73828125,34156.73828125,1075593216
2023-10-24 04:00:00+00:00,34052.65625,34509.73828125,34052.65625,34424.55859375,34424.55859375,510320640
2023-10-24 05:00:00+00:00,34404.7734375,34557.90234375,33875.14453125,33875.14453125,33875.14453125,144650240
2023-10-24 06:00:00+00:00,33883.62890625,34099.9375,33845.890625,33938.4296875,33938.4296875,725245952
2023-10-24 07:00:00+00:00,33971.84765625,34008.91015625,33733.40234375,34008.50390625,34008.50390625,735129600
